Imaginary,Real
-0.181803,0.472694
-0.1708,0.477353
-0.159667,0.481762
-0.148407,0.485918
-0.137028,0.489818
-0.125534,0.493456
-0.113931,0.496831
-0.102225,0.499937
-0.0904214,0.502773
-0.0785272,0.505334
-0.0665481,0.507619
-0.0544902,0.509622
-0.0423601,0.511343
-0.030164,0.512778
-0.0179087,0.513925
-0.0056007,0.514781
0.00675325,0.515344
0.0191463,0.515612
0.0315716,0.515583
0.044022,0.515255
0.0564906,0.514627
0.0689702,0.513697
0.0814536,0.512463
0.0939334,0.510925
0.106402,0.509081
0.118853,0.506932
0.131278,0.504475
0.143669,0.501711
0.15602,0.498639
0.168322,0.49526
0.180567,0.491572
0.192749,0.487578
0.204859,0.483276
0.21689,0.478668
0.228833,0.473755
0.240681,0.468538
0.252427,0.463017
0.264061,0.457194
0.275577,0.451072
0.286966,0.444651
0.298221,0.437935
0.309334,0.430924
0.320296,0.423622
0.331101,0.416032
0.34174,0.408155
0.352206,0.399996
0.36249,0.391558
0.372586,0.382843
0.382485,0.373857
0.392181,0.364603
0.401665,0.355084
0.410929,0.345307
0.419968,0.335274
0.428773,0.324991
0.437337,0.314463
0.445653,0.303696
0.453714,0.292694
0.461513,0.281463
0.469043,0.270009
0.476298,0.258339
0.483271,0.246459
0.489956,0.234374
0.496346,0.222092
0.502435,0.209621
0.508217,0.196965
0.513687,0.184134
0.518838,0.171135
0.523665,0.157975
0.528163,0.144662
0.532327,0.131204
0.536151,0.11761
0.539631,0.103888
0.542762,0.0900461
0.54554,0.0760934
0.547961,0.0620388
0.550021,0.0478915
0.551715,0.0336605
0.553041,0.0193553
0.553996,0.00498541
0.554575,-0.00943955
0.554777,-0.0239098
0.554599,-0.0384154
0.554039,-0.0529464
0.553095,-0.0674926
0.551765,-0.0820437
0.550047,-0.0965895
0.54794,-0.11112
0.545445,-0.125623
0.542559,-0.14009
0.539282,-0.154509
0.535616,-0.16887
0.531559,-0.183162
0.527112,-0.197374
0.522277,-0.211495
0.517054,-0.225515
0.511446,-0.239422
0.505453,-0.253206
0.499078,-0.266855
0.492324,-0.280359
0.485193,-0.293708
0.477688,-0.306889
0.469813,-0.319892
0.461571,-0.332707
0.452967,-0.345322
0.444005,-0.357728
0.434689,-0.369913
0.425025,-0.381867
0.415018,-0.39358
0.404673,-0.405041
0.393997,-0.416241
0.382997,-0.427169
0.371678,-0.437815
0.360047,-0.448169
0.348112,-0.458223
0.335881,-0.467966
0.32336,-0.47739
0.31056,-0.486485
0.297487,-0.495242
0.284151,-0.503653
0.27056,-0.51171
0.256725,-0.519404
0.242654,-0.526728
0.228358,-0.533673
0.213846,-0.540232
0.19913,-0.546399
0.184219,-0.552166
0.169125,-0.557526
0.153859,-0.562474
0.138432,-0.567004
0.122855,-0.571109
0.107141,-0.574784
0.0913018,-0.578025
0.0753491,-0.580827
0.0592955,-0.583186
0.0431535,-0.585097
0.0269357,-0.586556
0.0106552,-0.587562
-0.00567526,-0.58811
-0.0220424,-0.588199
-0.0384331,-0.587826
-0.0548339,-0.58699
-0.0712315,-0.585689
-0.0876123,-0.583923
-0.103963,-0.581691
-0.120269,-0.578992
-0.136518,-0.575828
-0.152695,-0.572199
-0.168787,-0.568106
-0.184781,-0.563551
-0.200661,-0.558535
-0.216416,-0.553062
-0.232031,-0.547135
-0.247492,-0.540755
-0.262786,-0.533928
-0.277899,-0.526657
-0.292819,-0.518948
-0.307531,-0.510804
-0.322023,-0.502231
-0.336282,-0.493236
-0.350295,-0.483824
-0.364049,-0.474002
-0.377532,-0.463778
-0.390731,-0.453158
-0.403635,-0.442151
-0.416231,-0.430764
-0.428508,-0.419007
-0.440454,-0.406888
-0.452058,-0.394417
-0.46331,-0.381604
-0.474198,-0.368458
-0.484713,-0.35499
-0.494845,-0.341212
-0.504583,-0.327133
-0.513919,-0.312766
-0.522843,-0.298122
-0.531347,-0.283214
-0.539423,-0.268053
-0.547062,-0.252652
-0.554258,-0.237025
-0.561003,-0.221183
-0.56729,-0.205141
-0.573113,-0.188913
-0.578467,-0.172511
-0.583345,-0.15595
-0.587743,-0.139245
-0.591657,-0.122408
-0.595081,-0.105456
-0.598013,-0.0884021
-0.600449,-0.0712616
-0.602386,-0.0540494
-0.603822,-0.0367803
-0.604756,-0.0194694
-0.605186,-0.00213177
-0.605111,0.0152174
